id,user_id,date,total_events,total_duration_minutes,social_intensity_score,battery_score,AI_Insight,AI_Score_Explanation,Recovery_Suggestion
250,rosdina_250,2026-03-14,4,984,86.2,13.8,,,
251,supriadi_251,2026-03-15,4,1068,85.4,14.6,,,
252,suriyani_252,2026-03-15,4,1086,86.3,13.7,,,
253,tommy zul hidayat_253,2026-03-16,4,972,80.6,19.4,,,
254,umi riyani_254,2026-03-16,4,1116,82.8,17.2,,,
255,wiwik sumarmi_255,2026-03-16,4,882,86.1,13.9,,,
256,yuni dwi hastuti_256,2026-03-16,4,846,64.3,35.7,,,
257,aulia rahman_257,2026-03-17,4,1008,82.4,17.6,,,
258,agung kurniawan_258,2026-03-17,4,1056,79.8,20.2,,,
259,ahmad fauzi paturusi_259,2026-03-17,4,954,69.7,30.3,,,
260,arie biola gunti masuko_260,2026-03-17,4,1086,91.3,8.7,,,
261,ayu andira_261,2026-03-18,4,882,76.1,23.9,,,
262,ayu dwi septiana arta_262,2026-03-18,4,1032,93.6,6.4,,,
263,azwar anas_263,2026-03-18,4,852,69.6,30.4,,,
264,azwir irfan nanda_264,2026-03-19,4,852,64.6,35.4,,,
265,budi setiawan_265,2026-03-19,4,1092,101.6,-1.6,,,
266,donna febriani_266,2026-03-19,4,954,74.7,25.3,,,
267,dwi widiastuti_267,2026-03-19,4,1128,103.4,-3.4,,,
268,dwiki apsyarin_268,2026-03-20,4,966,90.3,9.7,,,
269,dwiza indri_269,2026-03-20,4,1062,85.1,14.9,,,
270,frans b jaya zalukhu_270,2026-03-20,4,1002,87.1,12.9,,,
271,fuad harisfa_271,2026-03-20,4,1128,93.4,6.6,,,
272,herman efendi_272,2026-03-20,4,996,86.8,13.2,,,
273,ichsyan rizky adi p_273,2026-03-21,4,1050,94.5,5.5,,,
274,ivo oktavianti_274,2026-03-21,4,936,83.8,16.2,,,
275,lailatul izzati_275,2026-03-21,4,930,73.5,26.5,,,
276,muhammad oki_276,2026-03-21,4,882,66.1,33.9,,,
277,muhammad ridho ardonis_277,2026-03-21,4,936,88.8,11.2,,,
278,muhammad rizqi muttaqin_278,2026-03-22,4,1110,87.5,12.5,,,
279,muhammad setyo_279,2026-03-22,4,846,69.3,30.7,,,
280,nur aulia hasanah_280,2026-03-22,4,876,75.8,24.2,,,
281,nurfatrianti_281,2026-03-22,4,900,82,18,,,
282,pikril islami_282,2026-03-23,4,978,90.9,9.1,,,
283,rikal_283,2026-03-23,4,1020,93,7,,,
284,riyan hidayat_284,2026-03-23,4,1074,90.7,9.3,,,
285,rizki fatama_285,2026-03-23,4,954,79.7,20.3,,,
286,rizkie hafizzah_286,2026-03-23,4,1134,83.7,16.3,,,
287,syaiful akbar_287,2026-03-24,4,966,95.3,4.7,,,
288,nu' in sofyan_288,2026-03-24,4,852,74.6,25.4,,,
289,sumirah_289,2026-03-24,4,948,89.4,10.6,,,
290,ade surahman_290,2026-03-25,4,1032,88.6,11.4,,,
291,kasnanto_291,2026-03-25,4,1056,84.8,15.2,,,
292,sumirah_292,2026-03-25,4,924,83.2,16.8,,,
293,teguh wahyudi_293,2026-03-26,4,1086,96.3,3.7,,,
294,sakiyo_294,2026-03-26,4,972,85.6,14.4,,,
295,dwi kasmini_295,2026-03-26,4,900,67,33,,,
296,laily mufarokah_296,2026-03-26,4,894,66.7,33.3,,,
297,sigit nugroho_297,2026-03-27,4,954,84.7,15.3,,,
298,linda rusmi wardani_298,2026-03-27,4,894,71.7,28.3,,,
299,m. charly iman nugroho_299,2026-03-27,4,954,94.7,5.3,,,
300,untung sugiono_300,2026-03-27,4,1074,85.7,14.3,,,
301,sarminah_301,2026-03-27,4,960,90,10,,,
302,wiwik purwanti_302,2026-03-28,4,846,64.3,35.7,,,
303,saputra_303,2026-03-28,4,1014,82.7,17.3,,,
304,sufiyani_304,2026-03-28,4,1116,92.8,7.2,,,
305,zenika pradea_305,2026-03-28,4,1074,85.7,14.3,,,
306,adelia agustin_306,2026-03-28,4,1068,95.4,4.6,,,
307,desi aulia rahma_307,2026-03-29,4,978,75.9,24.1,,,
308,muhammad fajar maulana_308,2026-03-29,4,972,70.6,29.4,,,
309,muliadi_309,2026-03-29,4,972,90.6,9.4,,,
310,nuriyati_310,2026-03-29,4,1110,92.5,7.5,,,
311,andreyan saputra_311,2026-03-30,4,942,79.1,20.9,,,
312,afrianda_312,2026-03-30,4,978,85.9,14.1,,,
313,surya ramadani_313,2026-03-30,4,1116,87.8,12.2,,,
314,suhendri_314,2026-03-30,4,1128,88.4,11.6,,,
315,dewi wulan sari_315,2026-03-30,4,1116,92.8,7.2,,,
316,reza andika ramadhan_316,2026-03-31,4,960,90,10,,,
317,slamet_317,2026-03-31,4,840,84,16,,,
318,erna_318,2026-03-31,4,882,76.1,23.9,,,
319,gilang aditia_319,2026-03-31,4,1116,77.8,22.2,,,
320,suherianto_320,2026-04-01,4,948,84.4,15.6,,,
321,sugianti_321,2026-04-01,4,864,95.2,4.8,,,
322,aris pratama putra_322,2026-04-01,4,1020,88,12,,,
323,adella_323,2026-04-01,4,1134,83.7,16.3,,,
324,widyo sudiro_324,2026-04-01,4,1044,79.2,20.8,,,
325,kusniah_325,2026-04-02,4,948,79.4,20.6,,,
326,riza feri handoko_326,2026-04-02,4,906,92.3,7.7,,,
327,angga adhy surya_327,2026-04-03,4,1122,103.1,-3.1,,,
328,nelvin adhy renata_328,2026-04-03,4,990,91.5,8.5,,,
329,titis brigida silva_329,2026-04-03,4,1050,74.5,25.5,,,
330,suroso_330,2026-04-04,4,1008,87.4,12.6,,,
331,sukati_331,2026-04-04,4,894,76.7,23.3,,,
332,depri selamet ariadi_332,2026-04-04,4,912,82.6,17.4,,,
333,isti nurjanah_333,2026-04-04,4,1134,88.7,11.3,,,
334,ruswantoro_334,2026-04-05,4,1002,77.1,22.9,,,
335,juli anggraeni_335,2026-04-05,4,1092,91.6,8.4,,,
336,muhammad prayoga winata_336,2026-04-05,4,1002,87.1,12.9,,,
337,heru setyono_337,2026-04-06,4,906,77.3,22.7,,,
338,sri mulyani_338,2026-04-06,4,1128,103.4,-3.4,,,
339,galih subekti_339,2026-04-06,4,942,84.1,15.9,,,
340,ageng kurniawan_340,2026-04-06,4,1092,96.6,3.4,,,
341,auliya shobrina_341,2026-04-07,4,1128,98.4,1.6,,,
342,slamet_342,2026-04-07,4,852,79.6,20.4,,,
343,suparmi_343,2026-04-07,4,1038,103.9,-3.9,,,
344,tri agus susilo_344,2026-04-08,4,942,79.1,20.9,,,
345,junaeri_345,2026-04-08,4,1116,92.8,7.2,,,
346,daryono_346,2026-04-08,4,1080,86,14,,,
347,poniyem_347,2026-04-09,4,948,74.4,25.6,,,
348,fajar setiawan_348,2026-04-09,4,966,75.3,24.7,,,
349,nabilatul dwi seftiani_349,2026-04-09,4,1104,77.2,22.8,,,
350,jaimin_350,2026-04-10,4,858,89.9,10.1,,,
351,rohatun_351,2026-04-10,4,876,80.8,19.2,,,
352,dewi safitri_352,2026-04-11,4,864,80.2,19.8,,,
353,dian elok nur cahyati_353,2026-04-11,4,888,81.4,18.6,,,
354,m. amrijen nur rohman_354,2026-04-12,4,846,84.3,15.7,,,
355,rosidin_355,2026-04-12,4,1098,96.9,3.1,,,
356,suwarti_356,2026-04-13,4,918,87.9,12.1,,,
357,krisdan fauzi_357,2026-04-13,4,1050,89.5,10.5,,,
358,khasanah dwi fauziah_358,2026-04-14,4,1092,81.6,18.4,,,
359,ainun isnaini fauziati_359,2026-04-14,4,924,83.2,16.8,,,
360,m. rais tri wahyudi_360,2026-04-15,4,972,85.6,14.4,,,
361,sri mudrikoh_361,2026-04-15,4,1032,98.6,1.4,,,
362,ihsan baedowi_362,2026-04-16,4,918,77.9,22.1,,,
363,rahmad erwin wibisono_363,2026-04-16,4,1044,79.2,20.8,,,
364,muhamad fiki wahyudi_364,2026-04-17,4,1008,77.4,22.6,,,
365,agus salim_365,2026-04-18,4,1020,78,22,,,
366,mardiana_366,2026-04-19,4,966,80.3,19.7,,,
367,mustika sari_367,2026-04-20,4,966,85.3,14.7,,,
368,mega mawarni_368,2026-04-20,4,1062,95.1,4.9,,,
369,muhammad zamzari_369,2026-04-20,4,1122,93.1,6.9,,,
370,air murya_370,2026-04-20,4,1008,82.4,17.6,,,
371,sumardi_371,2026-04-21,4,1116,92.8,7.2,,,
372,surni_372,2026-04-21,4,948,74.4,25.6,,,
373,wahid suprayitno_373,2026-04-21,4,1104,107.2,-7.2,,,
374,sutramiati_374,2026-04-22,4,1086,91.3,8.7,,,
375,susanti lestari_375,2026-04-22,4,1134,98.7,1.3,,,
376,rasman_376,2026-04-22,4,1062,90.1,9.9,,,
377,riya ningsih_377,2026-04-23,4,1086,86.3,13.7,,,
378,uji ifandy saputra_378,2026-04-23,4,924,93.2,6.8,,,
379,hana aida sahila_379,2026-04-23,4,912,72.6,27.4,,,
380,mufizar ilyas_380,2026-04-23,4,852,74.6,25.4,,,
381,nora_381,2026-04-24,4,1062,90.1,9.9,,,
382,ulviana agustina_382,2026-04-24,4,1008,77.4,22.6,,,
383,erina ramadhani_383,2026-04-25,4,1128,93.4,6.6,,,
384,sumono_384,2026-04-25,4,1134,98.7,1.3,,,
385,khoirul zaki_385,2026-04-26,4,858,64.9,35.1,,,
386,warsini_386,2026-04-26,4,1062,95.1,4.9,,,
387,alif al barrak zaki_387,2026-04-27,4,1002,87.1,12.9,,,
