id,user_id,date,total_duration_minutes,social_intensity_score,battery_score,user_name,user_number,day_of_week,month,month_name,week,is_exhausted,is_low_battery,is_high_battery,battery_category,intensity_group
78,zubaidah_78,2026-02-02,1050,89.5,10.5,zubaidah,78,Monday,2,February,6,False,True,False,Low,85-100 (Tinggi)
79,agus faturrahman_79,2026-02-02,900,77.0,23.0,agus faturrahman,79,Monday,2,February,6,False,False,False,Medium,70-85
80,agustiando rahmat_80,2026-02-03,1008,100.0,-2.4,agustiando rahmat,80,Tuesday,2,February,6,True,True,False,Exhausted,85-100 (Tinggi)
81,aidil badri_81,2026-02-03,1098,96.9,3.1,aidil badri,81,Tuesday,2,February,6,False,True,False,Low,85-100 (Tinggi)
82,alfajri_82,2026-02-03,1116,97.8,2.2,alfajri,82,Tuesday,2,February,6,False,True,False,Low,85-100 (Tinggi)
83,bayu hasan basyir aljawi_83,2026-02-03,1116,97.8,2.2,bayu hasan basyir aljawi,83,Tuesday,2,February,6,False,True,False,Low,85-100 (Tinggi)
84,desi fransiska_84,2026-02-04,846,69.3,30.7,desi fransiska,84,Wednesday,2,February,6,False,False,False,Medium,50-70
85,desnando_85,2026-02-04,906,72.3,27.7,desnando,85,Wednesday,2,February,6,False,False,False,Medium,70-85
86,desri ardika_86,2026-02-04,1134,93.7,6.3,desri ardika,86,Wednesday,2,February,6,False,True,False,Low,85-100 (Tinggi)
87,dessy masdianata p_87,2026-02-04,1104,97.2,2.8,dessy masdianata p,87,Wednesday,2,February,6,False,True,False,Low,85-100 (Tinggi)
88,destria membrane_88,2026-02-04,1056,84.8,15.2,destria membrane,88,Wednesday,2,February,6,False,True,False,Low,70-85
89,eka nur safitri_89,2026-02-05,1134,100.0,-3.7,eka nur safitri,89,Thursday,2,February,6,True,True,False,Exhausted,85-100 (Tinggi)
90,fauziah_90,2026-02-05,852,89.6,10.4,fauziah,90,Thursday,2,February,6,False,True,False,Low,85-100 (Tinggi)
91,feny afrisilia_91,2026-02-05,1002,82.1,17.9,feny afrisilia,91,Thursday,2,February,6,False,True,False,Low,70-85
92,hesty afriani srg_92,2026-02-05,852,84.6,15.4,hesty afriani srg,92,Thursday,2,February,6,False,True,False,Low,70-85
93,ilham afandi aziz_93,2026-02-05,1056,79.8,20.2,ilham afandi aziz,93,Thursday,2,February,6,False,False,False,Medium,70-85
94,ilham fajri_94,2026-02-06,846,79.3,20.7,ilham fajri,94,Friday,2,February,6,False,False,False,Medium,70-85
95,indah permata sari_95,2026-02-06,1050,94.5,5.5,indah permata sari,95,Friday,2,February,6,False,True,False,Low,85-100 (Tinggi)
96,jukhri syahputra_96,2026-02-06,858,79.9,20.1,jukhri syahputra,96,Friday,2,February,6,False,False,False,Medium,70-85
97,m. muawam_97,2026-02-06,858,79.9,20.1,m. muawam,97,Friday,2,February,6,False,False,False,Medium,70-85
98,m. yassir saputra jamina_98,2026-02-06,960,85.0,15.0,m. yassir saputra jamina,98,Friday,2,February,6,False,True,False,Low,70-85
99,mardiyyat fadliellah_99,2026-02-07,888,66.4,33.6,mardiyyat fadliellah,99,Saturday,2,February,6,False,False,False,Medium,50-70
100,mukhtar lutfi_100,2026-02-07,894,91.7,8.3,mukhtar lutfi,100,Saturday,2,February,6,False,True,False,Low,85-100 (Tinggi)
101,nazarudin yusuf_101,2026-02-07,912,67.6,32.4,nazarudin yusuf,101,Saturday,2,February,6,False,False,False,Medium,50-70
102,neni anggraeni dalimunthe_102,2026-02-07,852,69.6,30.4,neni anggraeni dalimunthe,102,Saturday,2,February,6,False,False,False,Medium,50-70
103,nurpauliani dewi n_103,2026-02-07,954,84.7,15.3,nurpauliani dewi n,103,Saturday,2,February,6,False,True,False,Low,70-85
104,rano abdul rahman_104,2026-02-07,984,86.2,13.8,rano abdul rahman,104,Saturday,2,February,6,False,True,False,Low,85-100 (Tinggi)
105,ratih purwasih_105,2026-02-08,876,75.8,24.2,ratih purwasih,105,Sunday,2,February,6,False,False,False,Medium,70-85
106,raynaldi setiawan_106,2026-02-08,1098,91.9,8.1,raynaldi setiawan,106,Sunday,2,February,6,False,True,False,Low,85-100 (Tinggi)
107,shynta dwi afitri_107,2026-02-08,1020,88.0,12.0,shynta dwi afitri,107,Sunday,2,February,6,False,True,False,Low,85-100 (Tinggi)
108,siti romlah_108,2026-02-08,1020,83.0,17.0,siti romlah,108,Sunday,2,February,6,False,True,False,Low,70-85
109,teresno maulana_109,2026-02-08,1098,91.9,8.1,teresno maulana,109,Sunday,2,February,6,False,True,False,Low,85-100 (Tinggi)
110,tessa eka fatiwi_110,2026-02-09,990,86.5,13.5,tessa eka fatiwi,110,Monday,2,February,7,False,True,False,Low,85-100 (Tinggi)
111,wendi gusfan hutapea_111,2026-02-09,1116,92.8,7.2,wendi gusfan hutapea,111,Monday,2,February,7,False,True,False,Low,85-100 (Tinggi)
112,yovita sari_112,2026-02-09,870,85.5,14.5,yovita sari,112,Monday,2,February,7,False,True,False,Low,85-100 (Tinggi)
113,zukri adinalta_113,2026-02-09,1080,86.0,14.0,zukri adinalta,113,Monday,2,February,7,False,True,False,Low,85-100 (Tinggi)
114,alfi sahri_114,2026-02-09,1104,100.0,-7.2,alfi sahri,114,Monday,2,February,7,True,True,False,Exhausted,85-100 (Tinggi)
115,amalia wulandari_115,2026-02-10,990,96.5,3.5,amalia wulandari,115,Tuesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
116,amelia novrida_116,2026-02-10,1122,98.1,1.9,amelia novrida,116,Tuesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
117,andre ganda wilaga putra_117,2026-02-10,1086,96.3,3.7,andre ganda wilaga putra,117,Tuesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
118,andre oktora_118,2026-02-10,1002,87.1,12.9,andre oktora,118,Tuesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
119,benni setiawan_119,2026-02-10,924,88.2,11.8,benni setiawan,119,Tuesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
120,deswanto_120,2026-02-11,978,85.9,14.1,deswanto,120,Wednesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
121,desy syahputri_121,2026-02-11,1134,78.7,21.3,desy syahputri,121,Wednesday,2,February,7,False,False,False,Medium,70-85
122,eka wulandari_122,2026-02-11,960,90.0,10.0,eka wulandari,122,Wednesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
123,ferry ramadhan_123,2026-02-11,1116,92.8,7.2,ferry ramadhan,123,Wednesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
124,firdaus_124,2026-02-11,1056,94.8,5.2,firdaus,124,Wednesday,2,February,7,False,True,False,Low,85-100 (Tinggi)
125,hamdani asril_125,2026-02-12,1032,78.6,21.4,hamdani asril,125,Thursday,2,February,7,False,False,False,Medium,70-85
126,hijrah syahputra_126,2026-02-12,1068,90.4,9.6,hijrah syahputra,126,Thursday,2,February,7,False,True,False,Low,85-100 (Tinggi)
127,indah rahmawati_127,2026-02-12,1086,81.3,18.7,indah rahmawati,127,Thursday,2,February,7,False,True,False,Low,70-85
128,indra firman_128,2026-02-12,1104,100.0,-2.2,indra firman,128,Thursday,2,February,7,True,True,False,Exhausted,85-100 (Tinggi)
129,indri dian pertiwi_129,2026-02-12,894,71.7,28.3,indri dian pertiwi,129,Thursday,2,February,7,False,False,False,Medium,70-85
130,kemal pasha_130,2026-02-13,966,95.3,4.7,kemal pasha,130,Friday,2,February,7,False,True,False,Low,85-100 (Tinggi)
131,muhammad sayuti nur nasution_131,2026-02-13,1044,89.2,10.8,muhammad sayuti nur nasution,131,Friday,2,February,7,False,True,False,Low,85-100 (Tinggi)
132,miftahur ridho_132,2026-02-13,1056,99.8,0.2,miftahur ridho,132,Friday,2,February,7,False,True,False,Low,85-100 (Tinggi)
133,mila yuli yanti_133,2026-02-13,978,95.9,4.1,mila yuli yanti,133,Friday,2,February,7,False,True,False,Low,85-100 (Tinggi)
134,muhammad wendi hidayat_134,2026-02-13,1044,94.2,5.8,muhammad wendi hidayat,134,Friday,2,February,7,False,True,False,Low,85-100 (Tinggi)
135,nikawati_135,2026-02-14,912,82.6,17.4,nikawati,135,Saturday,2,February,7,False,True,False,Low,70-85
136,nofan widiyarna_136,2026-02-14,888,86.4,13.6,nofan widiyarna,136,Saturday,2,February,7,False,True,False,Low,85-100 (Tinggi)
137,nurudin rahman_137,2026-02-14,858,64.9,35.1,nurudin rahman,137,Saturday,2,February,7,False,False,False,Medium,50-70
138,puji astuti_138,2026-02-14,1098,91.9,8.1,puji astuti,138,Saturday,2,February,7,False,True,False,Low,85-100 (Tinggi)
139,refi delia_139,2026-02-14,1092,100.0,-6.6,refi delia,139,Saturday,2,February,7,True,True,False,Exhausted,85-100 (Tinggi)
140,reno mulia sari_140,2026-02-14,1020,93.0,7.0,reno mulia sari,140,Saturday,2,February,7,False,True,False,Low,85-100 (Tinggi)
141,resa putri ananda_141,2026-02-15,1002,87.1,12.9,resa putri ananda,141,Sunday,2,February,7,False,True,False,Low,85-100 (Tinggi)
142,resi septiani_142,2026-02-15,1026,100.0,-3.3,resi septiani,142,Sunday,2,February,7,True,True,False,Exhausted,85-100 (Tinggi)
143,rudi kurniawan_143,2026-02-15,1104,87.2,12.8,rudi kurniawan,143,Sunday,2,February,7,False,True,False,Low,85-100 (Tinggi)
144,siti zulaiha_144,2026-02-15,954,99.7,0.3,siti zulaiha,144,Sunday,2,February,7,False,True,False,Low,85-100 (Tinggi)
145,sry dhina pohan_145,2026-02-16,1092,86.6,13.4,sry dhina pohan,145,Monday,2,February,8,False,True,False,Low,85-100 (Tinggi)
146,thovanni jogga_146,2026-02-16,912,87.6,12.4,thovanni jogga,146,Monday,2,February,8,False,True,False,Low,85-100 (Tinggi)
147,tian fitra kurniawan_147,2026-02-16,1104,100.0,-7.2,tian fitra kurniawan,147,Monday,2,February,8,True,True,False,Exhausted,85-100 (Tinggi)
148,widya ayu azhari_148,2026-02-17,1074,95.7,4.3,widya ayu azhari,148,Tuesday,2,February,8,False,True,False,Low,85-100 (Tinggi)
149,yudiatma adrion_149,2026-02-17,930,78.5,21.5,yudiatma adrion,149,Tuesday,2,February,8,False,False,False,Medium,70-85
150,zukri rahman_150,2026-02-17,966,90.3,9.7,zukri rahman,150,Tuesday,2,February,8,False,True,False,Low,85-100 (Tinggi)
151,andre saputra_151,2026-02-17,1092,96.6,3.4,andre saputra,151,Tuesday,2,February,8,False,True,False,Low,85-100 (Tinggi)
152,andrianto_152,2026-02-17,858,89.9,10.1,andrianto,152,Tuesday,2,February,8,False,True,False,Low,85-100 (Tinggi)
153,andryan dwi cahyono_153,2026-02-18,930,78.5,21.5,andryan dwi cahyono,153,Wednesday,2,February,8,False,False,False,Medium,70-85
154,angga wiratama_154,2026-02-18,858,84.9,15.1,angga wiratama,154,Wednesday,2,February,8,False,True,False,Low,70-85
155,anggi desmita arini_155,2026-02-18,846,69.3,30.7,anggi desmita arini,155,Wednesday,2,February,8,False,False,False,Medium,50-70
156,dewi cita rani_156,2026-02-18,1122,100.0,-3.1,dewi cita rani,156,Wednesday,2,February,8,True,True,False,Exhausted,85-100 (Tinggi)
157,dewi kartika sari_157,2026-02-19,1038,83.9,16.1,dewi kartika sari,157,Thursday,2,February,8,False,True,False,Low,70-85
158,dewi shinta octariati_158,2026-02-19,918,82.9,17.1,dewi shinta octariati,158,Thursday,2,February,8,False,True,False,Low,70-85
159,firdaus_159,2026-02-19,1098,86.9,13.1,firdaus,159,Thursday,2,February,8,False,True,False,Low,85-100 (Tinggi)
160,fitra andri gunawan_160,2026-02-19,966,80.3,19.7,fitra andri gunawan,160,Thursday,2,February,8,False,True,False,Low,70-85
161,indriani saritsha_161,2026-02-20,1086,96.3,3.7,indriani saritsha,161,Friday,2,February,8,False,True,False,Low,85-100 (Tinggi)
162,inggar wangi r_162,2026-02-20,990,91.5,8.5,inggar wangi r,162,Friday,2,February,8,False,True,False,Low,85-100 (Tinggi)
163,mira afriani_163,2026-02-20,1080,100.0,-6.0,mira afriani,163,Friday,2,February,8,True,True,False,Exhausted,85-100 (Tinggi)
164,muhammad adri_164,2026-02-20,972,85.6,14.4,muhammad adri,164,Friday,2,February,8,False,True,False,Low,85-100 (Tinggi)
165,muhammad alayyubi_165,2026-02-21,984,81.2,18.8,muhammad alayyubi,165,Saturday,2,February,8,False,True,False,Low,70-85
166,nony chrisnayanti_166,2026-02-21,882,86.1,13.9,nony chrisnayanti,166,Saturday,2,February,8,False,True,False,Low,85-100 (Tinggi)
167,nora ferwati_167,2026-02-21,948,84.4,15.6,nora ferwati,167,Saturday,2,February,8,False,True,False,Low,70-85
168,nurul gayatri indah reza_168,2026-02-21,1068,85.4,14.6,nurul gayatri indah reza,168,Saturday,2,February,8,False,True,False,Low,85-100 (Tinggi)
169,benny yohanes_169,2026-02-22,900,82.0,18.0,benny yohanes,169,Sunday,2,February,8,False,True,False,Low,70-85
170,elennuari_170,2026-02-22,924,83.2,16.8,elennuari,170,Sunday,2,February,8,False,True,False,Low,70-85
171,harika vaizal_171,2026-02-22,942,74.1,25.9,harika vaizal,171,Sunday,2,February,8,False,False,False,Medium,70-85
172,hildayanti oktaviana_172,2026-02-23,1080,76.0,24.0,hildayanti oktaviana,172,Monday,2,February,9,False,False,False,Medium,70-85
173,khairul fahmi purba_173,2026-02-23,1014,82.7,17.3,khairul fahmi purba,173,Monday,2,February,9,False,True,False,Low,70-85
174,muhammad triyoga sp_174,2026-02-24,960,95.0,5.0,muhammad triyoga sp,174,Tuesday,2,February,9,False,True,False,Low,85-100 (Tinggi)
175,putri lia lestari_175,2026-02-24,972,80.6,19.4,putri lia lestari,175,Tuesday,2,February,9,False,True,False,Low,70-85
176,resti yulia_176,2026-02-24,882,81.1,18.9,resti yulia,176,Tuesday,2,February,9,False,True,False,Low,70-85
177,reysa hastarimasuci_177,2026-02-24,1014,82.7,17.3,reysa hastarimasuci,177,Tuesday,2,February,9,False,True,False,Low,70-85
178,reza fahlevi_178,2026-02-25,1098,91.9,8.1,reza fahlevi,178,Wednesday,2,February,9,False,True,False,Low,85-100 (Tinggi)
179,rhesma naca_179,2026-02-25,1086,86.3,13.7,rhesma naca,179,Wednesday,2,February,9,False,True,False,Low,85-100 (Tinggi)
180,rudi wijaya_180,2026-02-25,942,94.1,5.9,rudi wijaya,180,Wednesday,2,February,9,False,True,False,Low,85-100 (Tinggi)
181,suci fahma julia_181,2026-02-25,1098,96.9,3.1,suci fahma julia,181,Wednesday,2,February,9,False,True,False,Low,85-100 (Tinggi)
182,suci hijryani fitry_182,2026-02-26,1086,96.3,3.7,suci hijryani fitry,182,Thursday,2,February,9,False,True,False,Low,85-100 (Tinggi)
183,tika handayani asnur_183,2026-02-26,984,86.2,13.8,tika handayani asnur,183,Thursday,2,February,9,False,True,False,Low,85-100 (Tinggi)
184,tio doli raharjo_184,2026-02-26,1068,90.4,9.6,tio doli raharjo,184,Thursday,2,February,9,False,True,False,Low,85-100 (Tinggi)
185,winda wahyuti_185,2026-02-26,924,83.2,16.8,winda wahyuti,185,Thursday,2,February,9,False,True,False,Low,70-85
186,yulia ningsih_186,2026-02-26,918,77.9,22.1,yulia ningsih,186,Thursday,2,February,9,False,False,False,Medium,70-85
187,anggia anfina_187,2026-02-27,960,85.0,15.0,anggia anfina,187,Friday,2,February,9,False,True,False,Low,70-85
188,anita pauzia hsb_188,2026-02-27,1110,87.5,12.5,anita pauzia hsb,188,Friday,2,February,9,False,True,False,Low,85-100 (Tinggi)
189,annisa julita sari_189,2026-02-27,936,68.8,31.2,annisa julita sari,189,Friday,2,February,9,False,False,False,Medium,50-70
190,boby adi oktarino_190,2026-02-27,1056,94.8,5.2,boby adi oktarino,190,Friday,2,February,9,False,True,False,Low,85-100 (Tinggi)
191,dias marzal fatama_191,2026-02-28,864,80.2,19.8,dias marzal fatama,191,Saturday,2,February,9,False,True,False,Low,70-85
192,dicky mahendra_192,2026-02-28,876,70.8,29.2,dicky mahendra,192,Saturday,2,February,9,False,False,False,Medium,70-85
193,dika aristya linardi_193,2026-02-28,930,88.5,11.5,dika aristya linardi,193,Saturday,2,February,9,False,True,False,Low,85-100 (Tinggi)
194,elvi suryani_194,2026-02-28,858,74.9,25.1,elvi suryani,194,Saturday,2,February,9,False,False,False,Medium,70-85
195,fitra miswardi_195,2026-03-01,1086,96.3,3.7,fitra miswardi,195,Sunday,3,March,9,False,True,False,Low,85-100 (Tinggi)
196,fitri meldiani_196,2026-03-01,858,74.9,25.1,fitri meldiani,196,Sunday,3,March,9,False,False,False,Medium,70-85
197,husnul habib_197,2026-03-01,1044,89.2,10.8,husnul habib,197,Sunday,3,March,9,False,True,False,Low,85-100 (Tinggi)
198,irfani dwi ayu riski_198,2026-03-01,1116,87.8,12.2,irfani dwi ayu riski,198,Sunday,3,March,9,False,True,False,Low,85-100 (Tinggi)
